,date,query,page,country,device,clicks,impressions,ctr,avg_position
0,2020-01-17,ben nevis t shirt,https://climbitrange.co.uk/collections/ben-nevis-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,0.0,1.0,0.0,8.0
1,2020-01-17,climb it,https://climbitrange.co.uk/,bra,DESKTOP,0.0,1.0,0.0,6.0
2,2020-01-17,lake district t shirt,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,rus,DESKTOP,0.0,1.0,0.0,37.0
3,2020-01-17,lake district t shirts,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,gbr,MOBILE,0.0,1.0,0.0,30.0
4,2020-01-17,lake district t shirts,https://climbitrange.co.uk/collections/cat-bells-t-shirts-long-sleeve-t-shirts-and-hoodies,ltu,DESKTOP,0.0,1.0,0.0,27.0
5,2020-01-17,light grey cat,https://climbitrange.co.uk/products/light-grey-cat-bells-t-shirt,blr,DESKTOP,0.0,1.0,0.0,97.0
6,2020-01-17,long sleeve t shirt hoodies,https://climbitrange.co.uk/collections/tryfan-t-shirts-long-sleeve-t-shirts-and-hoodies,usa,DESKTOP,0.0,1.0,0.0,53.0
7,2020-01-17,outdoor sweatshirts,https://climbitrange.co.uk/,gbr,DESKTOP,0.0,1.0,0.0,67.0
8,2020-01-17,outdoor t shirts,https://climbitrange.co.uk/,bra,MOBILE,0.0,1.0,0.0,68.0
9,2020-01-17,outdoor t shirts,https://climbitrange.co.uk/,phl,DESKTOP,0.0,1.0,0.0,74.0
10,2020-01-17,outdoor t shirts,https://climbitrange.co.uk/,zaf,DESKTOP,0.0,1.0,0.0,74.0
